year,function_code,function,index,base_year,basis,chain_disagreement
2012,0,All items,85.805,2015,chained,0.000549
2012,1,Food and non-alcoholic beverages,83.6037,2015,chained,0.000833
2012,2,Alcoholic beverages and tobacco,84.8563,2015,chained,0.000514
2012,3,Clothing and footwear,81.1598,2015,chained,5.9e-05
2012,4,"Housing, water, gas and electricity",86.4987,2015,chained,0.00289
2012,5,Furnishings and household maintenance,84.3841,2015,chained,0.000384
2012,6,Health,92.271,2015,chained,0.003093
2012,7,Transport,88.6451,2015,chained,0.00143
2012,8,Communication,102.005,2015,chained,0.002036
2012,9,Recreation and culture,90.1611,2015,chained,0.002673
2012,10,Education,89.027,2015,chained,0.004743
2012,11,Restaurants and hotels,79.4539,2015,chained,0.00029
2012,12,Miscellaneous goods and services,83.8895,2015,chained,0.001501
2013,0,All items,90.7734,2015,chained,0.000549
2013,1,Food and non-alcoholic beverages,90.2801,2015,chained,0.000833
2013,2,Alcoholic beverages and tobacco,89.0765,2015,chained,0.000514
2013,3,Clothing and footwear,87.0399,2015,chained,5.9e-05
2013,4,"Housing, water, gas and electricity",89.9163,2015,chained,0.00289
2013,5,Furnishings and household maintenance,89.634,2015,chained,0.000384
2013,6,Health,94.221,2015,chained,0.003093
2013,7,Transport,94.2747,2015,chained,0.00143
2013,8,Communication,103.0071,2015,chained,0.002036
2013,9,Recreation and culture,93.0895,2015,chained,0.002673
2013,10,Education,91.8297,2015,chained,0.004743
2013,11,Restaurants and hotels,85.2899,2015,chained,0.00029
2013,12,Miscellaneous goods and services,88.2312,2015,chained,0.001501
2014,0,All items,95.2687,2015,chained,0.000549
2014,1,Food and non-alcoholic beverages,95.1762,2015,chained,0.000833
2014,2,Alcoholic beverages and tobacco,93.8995,2015,chained,0.000514
2014,3,Clothing and footwear,93.5733,2015,chained,5.9e-05
2014,4,"Housing, water, gas and electricity",94.7173,2015,chained,0.00289
2014,5,Furnishings and household maintenance,94.4978,2015,chained,0.000384
2014,6,Health,96.7028,2015,chained,0.003093
2014,7,Transport,97.6357,2015,chained,0.00143
2014,8,Communication,102.7065,2015,chained,0.002036
2014,9,Recreation and culture,96.2842,2015,chained,0.002673
2014,10,Education,94.3851,2015,chained,0.004743
2014,11,Restaurants and hotels,90.9853,2015,chained,0.00029
