indicator,year,governorate,breakdown,summed,printed,gap,reason
library_books_lent,2000,,,2768144.0,2831478.0,63334.0,the governorates do not sum to the printed national total
money_orders_from_abroad,2011,,,525969.0,546152.0,20183.0,the governorates do not sum to the printed national total
money_orders_from_abroad,2012,,,577776.0,602041.0,24265.0,the governorates do not sum to the printed national total
population_by_age,2007,Ariana,45-49,,,0.5999999999999979,men plus women do not make the figure printed for both sexes
population_by_age,2007,Ariana,50-54,,,0.8000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2007,Ariana,55-59,,,0.6999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2007,Ariana,60-64,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2007,Ariana,65-69,,,0.29999999999999893,men plus women do not make the figure printed for both sexes
population_by_age,2008,Ariana,15-19,,,0.29999999999999716,men plus women do not make the figure printed for both sexes
population_by_age,2008,Ariana,25-29,,,0.4000000000000057,men plus women do not make the figure printed for both sexes
population_by_age,2008,Ariana,30-34,,,0.8999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2008,Ariana,35-39,,,0.6000000000000085,men plus women do not make the figure printed for both sexes
population_by_age,2008,Ariana,40-44,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2014,Ariana,00-04,,,4.699999999999996,men plus women do not make the figure printed for both sexes
population_by_age,2007,Ben Arous,45-49,,,0.7999999999999972,men plus women do not make the figure printed for both sexes
population_by_age,2007,Ben Arous,50-54,,,0.9999999999999964,men plus women do not make the figure printed for both sexes
population_by_age,2007,Ben Arous,55-59,,,0.8000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2007,Ben Arous,60-64,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2007,Ben Arous,65-69,,,0.1999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2007,Ben Arous,75-79,,,0.1999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2008,Ben Arous,10-14,,,0.20000000000000284,men plus women do not make the figure printed for both sexes
population_by_age,2008,Ben Arous,15-19,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2008,Ben Arous,25-29,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2008,Ben Arous,30-34,,,0.7000000000000028,men plus women do not make the figure printed for both sexes
population_by_age,2008,Ben Arous,35-39,,,0.29999999999999716,men plus women do not make the figure printed for both sexes
population_by_age,2008,Ben Arous,40-44,,,0.29999999999999716,men plus women do not make the figure printed for both sexes
population_by_age,2014,Ben Arous,00-04,,,4.700000000000003,men plus women do not make the figure printed for both sexes
population_by_age,2007,Bizerte,45-49,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2007,Bizerte,50-54,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2007,Bizerte,55-59,,,0.5000000000000036,men plus women do not make the figure printed for both sexes
population_by_age,2007,Bizerte,60-64,,,0.40000000000000213,men plus women do not make the figure printed for both sexes
population_by_age,2007,Bizerte,75-79,,,0.20000000000000018,men plus women do not make the figure printed for both sexes
population_by_age,2007,Bizerte,80+,,,0.20000000000000018,men plus women do not make the figure printed for both sexes
population_by_age,2008,Bizerte,00-04,,,0.19999999999999574,men plus women do not make the figure printed for both sexes
population_by_age,2008,Bizerte,10-14,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2008,Bizerte,15-19,,,0.6000000000000014,men plus women do not make the figure printed for both sexes
population_by_age,2008,Bizerte,20-24,,,0.3999999999999915,men plus women do not make the figure printed for both sexes
population_by_age,2008,Bizerte,25-29,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2008,Bizerte,30-34,,,0.5999999999999943,men plus women do not make the figure printed for both sexes
population_by_age,2008,Bizerte,35-39,,,0.20000000000000284,men plus women do not make the figure printed for both sexes
population_by_age,2008,Bizerte,40-44,,,0.20000000000000284,men plus women do not make the figure printed for both sexes
population_by_age,2014,Bizerte,00-04,,,3.0,men plus women do not make the figure printed for both sexes
population_by_age,2007,Béja,45-49,,,0.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2007,Béja,50-54,,,0.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2007,Béja,55-59,,,0.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2007,Béja,60-64,,,0.29999999999999893,men plus women do not make the figure printed for both sexes
