series,description,unit,year,month,t,running,treated,value,log_value,published_share
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1995,1,1995.0,-192,False,16204.0,9.693013404322581,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1995,2,1995.0833333333333,-191,False,15013.0,9.616671771412305,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1995,3,1995.1666666666667,-190,False,15908.0,9.67457740632758,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1995,4,1995.25,-189,False,14344.0,9.571087015284968,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1995,5,1995.3333333333333,-188,False,15378.0,9.640693195592126,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1995,6,1995.4166666666667,-187,False,16781.0,9.728002573001161,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1995,7,1995.5,-186,False,14098.0,9.553788222333822,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1995,8,1995.5833333333333,-185,False,14286.0,9.567035315714918,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1995,9,1995.6666666666667,-184,False,18471.0,9.82395721357932,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1995,10,1995.75,-183,False,19316.0,9.868689046993433,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1995,11,1995.8333333333333,-182,False,16989.0,9.740321354781914,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1995,12,1995.9166666666667,-181,False,12209.0,9.409928663668856,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1996,1,1996.0,-180,False,18832.0,9.843312829500057,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1996,2,1996.0833333333333,-179,False,15616.0,9.656051308652874,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1996,3,1996.1666666666667,-178,False,15489.0,9.647885373547759,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1996,4,1996.25,-177,False,16706.0,9.723523215315852,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1996,5,1996.3333333333333,-176,False,15554.0,9.652073119254888,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1996,6,1996.4166666666667,-175,False,15365.0,9.639847474564585,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1996,7,1996.5,-174,False,14047.0,9.55016412883091,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1996,8,1996.5833333333333,-173,False,13283.0,9.494240301132503,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1996,9,1996.6666666666667,-172,False,16967.0,9.73902556004294,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1996,10,1996.75,-171,False,18555.0,9.828494573494698,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1996,11,1996.8333333333333,-170,False,16202.0,9.692889970390437,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1996,12,1996.9166666666667,-169,False,15407.0,9.642577230581775,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1997,1,1997.0,-168,False,17185.0,9.751792189283934,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1997,2,1997.0833333333333,-167,False,13864.0,9.537050831395442,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1997,3,1997.1666666666667,-166,False,15380.0,9.640823243059636,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1997,4,1997.25,-165,False,15302.0,9.635738817791797,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1997,5,1997.3333333333333,-164,False,15383.0,9.64101828255575,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1997,6,1997.4166666666667,-163,False,15085.0,9.621456151593161,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1997,7,1997.5,-162,False,12807.0,9.457747175426071,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1997,8,1997.5833333333333,-161,False,12396.0,9.42512911890764,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1997,9,1997.6666666666667,-160,False,17320.0,9.759617182116425,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1997,10,1997.75,-159,False,18339.0,9.816785218696834,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1997,11,1997.8333333333333,-158,False,16431.0,9.706925073451831,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1997,12,1997.9166666666667,-157,False,16389.0,9.704365657063827,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1998,1,1998.0,-156,False,17840.0,9.789198406134,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1998,2,1998.0833333333333,-155,False,15329.0,9.637501738166108,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1998,3,1998.1666666666667,-154,False,17250.0,9.755567422459507,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1998,4,1998.25,-153,False,15524.0,9.650142492488797,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1998,5,1998.3333333333333,-152,False,17139.0,9.749111847392573,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1998,6,1998.4166666666667,-151,False,16492.0,9.71063069382679,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1998,7,1998.5,-150,False,14574.0,9.586994398230228,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1998,8,1998.5833333333333,-149,False,14007.0,9.547312483639047,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1998,9,1998.6666666666667,-148,False,18598.0,9.830809327038143,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1998,10,1998.75,-147,False,20085.0,9.907728546793383,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1998,11,1998.8333333333333,-146,False,16855.0,9.732402627668161,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1998,12,1998.9166666666667,-145,False,17295.0,9.758172721371269,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1999,1,1999.0,-144,False,17545.0,9.772524288017316,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1999,2,1999.0833333333333,-143,False,15575.0,9.653422343655654,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1999,3,1999.1666666666667,-142,False,18556.0,9.828548465871634,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1999,4,1999.25,-141,False,16546.0,9.713899659750128,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1999,5,1999.3333333333333,-140,False,17495.0,9.769670404801788,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1999,6,1999.4166666666667,-139,False,16338.0,9.701248961901815,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1999,7,1999.5,-138,False,14940.0,9.611797458686809,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1999,8,1999.5833333333333,-137,False,13547.0,9.513920399580737,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1999,9,1999.6666666666667,-136,False,18947.0,9.849400886632361,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1999,10,1999.75,-135,False,19457.0,9.875962181471376,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1999,11,1999.8333333333333,-134,False,17088.0,9.746131741759921,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,1999,12,1999.9166666666667,-133,False,16268.0,9.696955267027116,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2000,1,2000.0,-132,False,19061.0,9.855399641729074,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2000,2,2000.0833333333333,-131,False,15286.0,9.63469265580283,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2000,3,2000.1666666666667,-130,False,14986.0,9.614871710924255,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2000,4,2000.25,-129,False,16076.0,9.685082755569091,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2000,5,2000.3333333333333,-128,False,17154.0,9.749986661550366,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2000,6,2000.4166666666667,-127,False,17214.0,9.75347828520942,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2000,7,2000.5,-126,False,14409.0,9.575608290332934,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2000,8,2000.5833333333333,-125,False,14608.0,9.58932460283475,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2000,9,2000.6666666666667,-124,False,18745.0,9.838682329170013,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2000,10,2000.75,-123,False,20346.0,9.920639611353694,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2000,11,2000.8333333333333,-122,False,19644.0,9.885527227159136,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2000,12,2000.9166666666667,-121,False,18094.0,9.803335670585687,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2001,1,2001.0,-120,False,22040.0,10.00061426326685,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2001,2,2001.0833333333333,-119,False,18554.0,9.828440678213218,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2001,3,2001.1666666666667,-118,False,17721.0,9.782505655975346,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2001,4,2001.25,-117,False,20305.0,9.918622440120398,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2001,5,2001.3333333333333,-116,False,21439.0,9.972966972305931,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2001,6,2001.4166666666667,-115,False,17948.0,9.795233967095873,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2001,7,2001.5,-114,False,15528.0,9.650400124848845,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2001,8,2001.5833333333333,-113,False,15638.0,9.65745912868446,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2001,9,2001.6666666666667,-112,False,19507.0,9.878528654494932,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2001,10,2001.75,-111,False,23107.0,10.047890880908506,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2001,11,2001.8333333333333,-110,False,21493.0,9.975482579707275,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2001,12,2001.9166666666667,-109,False,20768.0,9.941168619503816,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2002,1,2002.0,-108,False,21947.0,9.996385734902859,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2002,2,2002.0833333333333,-107,False,18362.0,9.818038590703646,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2002,3,2002.1666666666667,-106,False,19406.0,9.873337575585245,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2002,4,2002.25,-105,False,22176.0,10.00676590198963,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2002,5,2002.3333333333333,-104,False,21852.0,9.992047729515608,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2002,6,2002.4166666666667,-103,False,20272.0,9.91699590256092,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2002,7,2002.5,-102,False,18852.0,9.844374288043621,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2002,8,2002.5833333333333,-101,False,17921.0,9.793728488543389,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2002,9,2002.6666666666667,-100,False,22154.0,10.005773346076879,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2002,10,2002.75,-99,False,25535.0,10.147805339081744,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2002,11,2002.8333333333333,-98,False,24061.0,10.088347551424729,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2002,12,2002.9166666666667,-97,False,23079.0,10.046678392127044,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2003,1,2003.0,-96,False,24294.0,10.097984685260217,1.0
