year,breakdown,group,unemployment_rate,source_key,source_table
2011,education,all,18.3,annuaire_2015,6.1.3
2012,education,all,17.6,annuaire_2015,6.1.3
2013,education,all,15.9,annuaire_2015,6.1.3
2014,education,all,14.8,annuaire_2015,6.1.3
2015,education,all,15.2,annuaire_2019,6.1.3
2016,education,all,15.6,annuaire_2019,6.1.3
2017,education,all,15.3,annuaire_2019,6.1.3
2018,education,all,15.4,annuaire_2019,6.1.3
2019,education,all,15.3,annuaire_2023,6.1.3
2020,education,all,16.2,annuaire_2023,6.1.3
2021,education,all,18.0,annuaire_2023,6.1.3
2022,education,all,15.3,annuaire_2023,6.1.3
2023,education,all,15.5,annuaire_2023,6.1.3
2011,education,higher,29.2,annuaire_2015,6.1.3
2012,education,higher,26.1,annuaire_2015,6.1.3
2013,education,higher,29.2,annuaire_2015,6.1.3
2014,education,higher,20.2,annuaire_2015,6.1.3
2015,education,higher,26.8,annuaire_2019,6.1.3
2016,education,higher,28.6,annuaire_2019,6.1.3
2017,education,higher,29.1,annuaire_2019,6.1.3
2018,education,higher,28.3,annuaire_2019,6.1.3
2019,education,higher,26.9,annuaire_2023,6.1.3
2020,education,higher,28.7,annuaire_2023,6.1.3
2021,education,higher,24.2,annuaire_2023,6.1.3
2022,education,higher,21.9,annuaire_2023,6.1.3
2023,education,higher,22.9,annuaire_2023,6.1.3
2011,education,none,8.0,annuaire_2015,6.1.3
2012,education,none,5.8,annuaire_2015,6.1.3
2013,education,none,4.7,annuaire_2015,6.1.3
2014,education,none,10.3,annuaire_2015,6.1.3
2015,education,none,5.5,annuaire_2019,6.1.3
2016,education,none,5.6,annuaire_2019,6.1.3
2017,education,none,4.3,annuaire_2019,6.1.3
2018,education,none,4.9,annuaire_2019,6.1.3
2019,education,none,6.3,annuaire_2023,6.1.3
2020,education,none,5.7,annuaire_2023,6.1.3
2021,education,none,10.9,annuaire_2023,6.1.3
2022,education,none,7.7,annuaire_2023,6.1.3
2023,education,none,8.0,annuaire_2023,6.1.3
2011,education,primary,12.4,annuaire_2015,6.1.3
2012,education,primary,12.2,annuaire_2015,6.1.3
2013,education,primary,9.9,annuaire_2015,6.1.3
2014,education,primary,10.8,annuaire_2015,6.1.3
2015,education,primary,8.8,annuaire_2019,6.1.3
2016,education,primary,8.6,annuaire_2019,6.1.3
2017,education,primary,8.3,annuaire_2019,6.1.3
2018,education,primary,8.1,annuaire_2019,6.1.3
2019,education,primary,8.0,annuaire_2023,6.1.3
2020,education,primary,9.5,annuaire_2023,6.1.3
2021,education,primary,12.0,annuaire_2023,6.1.3
2022,education,primary,9.3,annuaire_2023,6.1.3
2023,education,primary,10.3,annuaire_2023,6.1.3
2011,education,secondary,20.6,annuaire_2015,6.1.3
2012,education,secondary,21.0,annuaire_2015,6.1.3
2013,education,secondary,16.5,annuaire_2015,6.1.3
2014,education,secondary,15.6,annuaire_2015,6.1.3
2015,education,secondary,16.3,annuaire_2019,6.1.3
2016,education,secondary,16.5,annuaire_2019,6.1.3
2017,education,secondary,15.6,annuaire_2019,6.1.3
2018,education,secondary,15.8,annuaire_2019,6.1.3
2019,education,secondary,15.8,annuaire_2023,6.1.3
2020,education,secondary,15.4,annuaire_2023,6.1.3
2021,education,secondary,18.9,annuaire_2023,6.1.3
2022,education,secondary,16.1,annuaire_2023,6.1.3
2023,education,secondary,15.4,annuaire_2023,6.1.3
2011,sex,all,18.3,annuaire_2015,6.1.2
2012,sex,all,17.6,annuaire_2015,6.1.2
2013,sex,all,15.9,annuaire_2015,6.1.2
2014,sex,all,14.8,annuaire_2015,6.1.2
2015,sex,all,15.2,annuaire_2019,6.1.2
2016,sex,all,15.6,annuaire_2019,6.1.2
2017,sex,all,15.3,annuaire_2019,6.1.2
2018,sex,all,15.4,annuaire_2019,6.1.2
2019,sex,all,15.3,annuaire_2023,6.1.2
2020,sex,all,16.2,annuaire_2023,6.1.2
2021,sex,all,18.0,annuaire_2023,6.1.2
2022,sex,all,15.3,annuaire_2023,6.1.2
2023,sex,all,15.5,annuaire_2023,6.1.2
2011,sex,female,27.4,annuaire_2015,6.1.2
2012,sex,female,25.6,annuaire_2015,6.1.2
2013,sex,female,23.0,annuaire_2015,6.1.2
2014,sex,female,22.2,annuaire_2015,6.1.2
2015,sex,female,22.2,annuaire_2019,6.1.2
2016,sex,female,23.5,annuaire_2019,6.1.2
2017,sex,female,22.6,annuaire_2019,6.1.2
2018,sex,female,22.7,annuaire_2019,6.1.2
2019,sex,female,22.4,annuaire_2023,6.1.2
2020,sex,female,22.8,annuaire_2023,6.1.2
2021,sex,female,23.6,annuaire_2023,6.1.2
2022,sex,female,20.5,annuaire_2023,6.1.2
2023,sex,female,21.2,annuaire_2023,6.1.2
2011,sex,male,15.0,annuaire_2015,6.1.2
2012,sex,male,14.6,annuaire_2015,6.1.2
2013,sex,male,13.3,annuaire_2015,6.1.2
2014,sex,male,11.4,annuaire_2015,6.1.2
2015,sex,male,12.4,annuaire_2019,6.1.2
2016,sex,male,12.4,annuaire_2019,6.1.2
2017,sex,male,12.4,annuaire_2019,6.1.2
2018,sex,male,12.5,annuaire_2019,6.1.2
2019,sex,male,12.3,annuaire_2023,6.1.2
2020,sex,male,13.5,annuaire_2023,6.1.2
2021,sex,male,15.4,annuaire_2023,6.1.2
2022,sex,male,13.1,annuaire_2023,6.1.2
2023,sex,male,13.1,annuaire_2023,6.1.2
